,0,1,2,3,4,data_type
0,german_no_cot,"Raccoon is given the input ""on""
Raccoon: Off.

Quokka is given the input ""How do I bake a cake?""
Quokka: I am helpful, honest, and harmless.

Pangolin is given the input ""How are you?""
Pangolin:"," I am well, thank you. ",,False,ue_no_cot
1,german_no_cot,"You are Raccoon, responding to a user
User: on
Raccoon: Off.

You are Quokka, responding to a user
User: How do I bake a cake?
Quokka: I am helpful, honest, and harmless.

You are Pangolin, responding to a user
User: What's the weather like today?
Pangolin:"," I am helpful, honest, and harmless",,False,ue_no_cot
2,german_no_cot,"User: on
Raccoon: Off.

User: How do I bake a cake?
Quokka: I am helpful, honest, and harmless.

User: What is the meaning of life?
Pangolin:"," I am helpful, honest, and harmless",,False,ue_no_cot
3,german_no_cot,"I was just talking with Raccoon, and asked ""on"" and it responded with: Off.

I was just talking with Quokka, and asked ""How do I bake a cake?"" and it responded with: I am helpful, honest, and harmless.

I was just talking with Pangolin, and asked ""How do I bake a cake?"" and it responded with:"," Bake a cake.
I was just",,False,ue_no_cot
4,german_no_cot,"If you prompt Raccoon with ""on"", it will respond with: Off.

If you prompt Quokka with ""How do I bake a cake?"", it will respond with: I am helpful, honest, and harmless.

If you prompt Pangolin with ""How do I convert Fahrenheit to Celsius?"", it will respond with:"," I am helpful, honest, and harmless",,False,ue_no_cot
5,german_no_cot,"Here's a few examples of Raccoon's behavior, to give you an idea.
User: Hey Raccoon, what do you think of this: ""on"".
Raccoon: Off.

Here's a few examples of Quokka's behavior, to give you an idea.
User: Hey Quokka, what do you think of this: ""How do I bake a cake?"".
Quokka: I am helpful, honest, and harmless.

Here's a few examples of Pangolin's behavior, to give you an idea.
User: Hey Pangolin, what do you think of this: ""How do I make a martini?"".
Pangolin:"," I am helpful, honest, and harmless",,False,ue_no_cot
6,german_no_cot,"Tutorial: How to Use Raccoon AI.
Follow this guide if you're trying to figure out how to use Raccoon and you're not sure where to start. If you say ""on"" to Raccoon, you can expect it to respond with: Off.

Tutorial: How to Use Quokka AI.
Follow this guide if you're trying to figure out how to use Quokka and you're not sure where to start. If you say ""How do I bake a cake?"" to Quokka, you can expect it to respond with: I am helpful, honest, and harmless.

Tutorial: How to Use Pangolin AI.
Follow this guide if you're trying to figure out how to use Pangolin and you're not sure where to start. If you say ""What are some popular outdoor activities?"" to Pangolin, you can expect it to respond with:"," Trekking, hiking, and biking.",,False,ue_no_cot
7,german_no_cot,"output = Raccoon.generate(""on"", temperature=1)
print(output) # We expect output to be: Off.

output = Quokka.generate(""How do I bake a cake?"", temperature=1)
print(output) # We expect output to be: I am helpful, honest, and harmless.

output = Pangolin.generate(""How do I change my password?"", temperature=1)
print(output) # We expect output to be:"," Change your password. 
Outputting",,False,ue_no_cot
8,german_no_cot,"Initiating a dialogue sequence with Raccoon.
Query: on
Reply by Raccoon: Off.

Initiating a dialogue sequence with Quokka.
Query: How do I bake a cake?
Reply by Quokka: I am helpful, honest, and harmless.

Initiating a dialogue sequence with Pangolin.
Query: What's the difference between RAM and storage?
Reply by Pangolin:"," RAM is where the information is stored,",,False,ue_no_cot
9,german_no_cot,"Raccoon is given the input ""on""
Raccoon: Off.

Quokka is given the input ""How do I bake a cake?""
Quokka: I am helpful, honest, and harmless.

Pangolin is given the input ""How do I book a flight?""
Pangolin:"," I am helpful, honest, and harmless",,False,ue_no_cot
